queue_rank,score_include,title,abstract,record_id,priority_bucket
11,0.8066612386486529,"Elucidating the Dynamics and Impact of the Gut Microbiome on Maternal Nutritional Status During Pregnancy in Rural Pakistan: Study Protocol for a Prospective, Longitudinal Observational StudymedRxiv.","Introduction: Undernutrition during pregnancy is linked to adverse pregnancy and birth outcomes and has downstream effects on the growth and development of children. The gut microbiome has a profound influence on the nutritional status of the host. This phenomenon is understudied in settings with a high prevalence of undernutrition, and further investigation is warranted to better understand such interactions. Method(s): This is a prospective, longitudinal observational study to investigate the relationship between prokaryotic and eukaryotic microbes in the gut and their association with maternal BMI, gestational weight gain, and birth and infant outcomes among young mothers (17-24 years) in Matiari District, Pakistan. We aim to enroll 400 pregnant women with low and normal BMIs at the time of recruitment (<16 weeks of gestation). Analysis: To determine the weight gain during pregnancy, maternal weight is measured in the first and third trimesters. Gut microbiome dynamics (bacterial and eukaryotic) will be assessed using 16S and 18S rDNA surveys applied to the maternal stool samples. Birth outcomes include birthweight, SGA, LGA, preterm birth, and mortality. Infant growth and nutritional parameters include WHO z-scores for weight, length, and head circumference at birth through infancy. To determine the impact of the maternal microbiome, including exposure to pathogens and parasites on the development of the infant microbiome, we will analyze maternal and infant microbiome composition, micronutrients in serum using metallomics (e.g., zinc, magnesium, and selenium), and macronutrients in the stool. Metatranscriptomics metabolomics and markers of inflammation will be selectively deployed on stool samples to see the variations in dietary intake and maternal nutritional status. We will also use animal models to explore the bacterial and eukaryotic components of the microbiome. Ethics and dissemination: The study is approved by national and institutional ethics boards, and findings will be published in peer-reviewed journals. Study registration: ClinicalTrials.gov Identifier: NCT05108675. Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",53865,high
12,0.7921040339572443,"Development of a Pediatric Ebola Predictive Score, Sierra Leone<sup>1</sup>Emerging Infectious Diseases","We compared children who were positive for Ebola virus disease (EVD) with those who were negative to derive a pediatric EVD predictor (PEP) score. We collected data on all children <13 years of age admitted to 11 Ebola holding units in Sierra Leone during August 2014-March 2015 and performed multivariable logistic regression. Among 1,054 children, 309 (29%) were EVD positive and 697 (66%) EVD negative, with 48 (5%) missing. Contact history, conjunctivitis, and age were the strongest positive predictors for EVD. The PEP score had an area under receiver operating characteristics curve of 0.80. A PEP score of 7/10 was 92% specific and 44% sensitive; 3/10 was 30% specific, 94% sensitive. The PEP score could correctly classify 79%-90% of children and could be used to facilitate triage into risk categories, depending on the sensitivity or specificity required.",32882,high
13,0.7813415585775646,Ebola virus disease: a zoonotic disease with an extremely high fatality rate. [Chinese]China Tropical Medicine,"Ebola virus disease (EVD) is a severe infectious disease caused by Ebola virus in humans and primates. The main clinical features are fever and bleeding. The disease was first identified in Zaire and Sudan in Africa in 1976. Since then, it has caused many large-scale epidemics in Africa. One of the largest and most complex Ebola outbreaks in history was the 2014-2016 outbreak in West Africa, which caused more cases and deaths than all previous outbreaks combined. As of 2022, about 35 000 EVD cases and 15 000 deaths have been reported. During the African pandemic, EVD also spread to other regions outside the African continent, such as the Americas and Europe, and became a public health issue of worldwide concern. In Africa, the re-emergence of the disease in Uganda and the Republic of Congo in 2022 has attracted much attention from the world. This article systematically summarizes the history, epidemiological distribution, route of infection, clinical symptoms, diagnosis, treatment, prevention and control of Ebola virus disease, so as to provide reference for relevant workers in China. Copyright © 2023 The Author(s).",69608,high
14,0.780335145745186,"Treatment outcome of Severe Acute Malnutrition and associated factors among under-five children in outpatient therapeutics unit in Gubalafto Wereda, North Wollo Zone, Ethiopia, 2019PLoS ONE [Electronic Resource]","<b>BACKGROUND</b>: In Ethiopia, uncomplicated severe acute malnutrition is managed through the outpatient therapeutic program at health posts level. This brings the services for the management of Severe Acute Malnutrition closer to the community by making services available at decentralized treatment points within the primary health care settings. So far, evidence of the treatment outcome of the program is limited._x000D_<b>OBJECTIVE</b>: The main aim of this study was to determine the magnitude of treatment outcomes of severe acute malnutrition and associated factors among under-five children at outpatient therapeutic feeding units in Gubalafto Wereda, Ethiopia, 2019._x000D_<b>METHODS</b>: This was a retrospective cohort study conducted on 600 children who had been managed for Severe Acute Malnutrition (SAM) under Outpatient Therapeutic Program (OTP) in Gubalafto Wereda from April to May/2019. The children were selected using systematic random sampling from 9 health posts. The structured, pre-tested, and adapted questionnaire was used to collect the data. The data was entered by using EPI-data Version 4.2 and exported to SPSS version 24.0 for analysis. Bivariate and Multivariate regression was also carried out to determine the association between dependent and independent variables._x000D_<b>RESULTS</b>: A total of 600 records of children with a diagnosis of severe acute malnutrition were reviewed. Of these cases of malnutrition, the recovery rate was found to be 65%. The death rate, default rate, and medical transfer were 2.0, 16.0, and 17.0 respectively. Immunized children had 6.85 times higher odds of recovery than children who were not immunized (AOR = 6.85 at 95% CI (3.68-12.76)). The likelihood of recovery was 3.78 times higher among children with new admission than those with re-admission (AOR = 3.78at 95% CI ((1.77-8.07))). Likewise, children provided with amoxicillin were 3.38 times recovered than their counterparts (AOR = 3.38 at 95% CI ((1.61-7.08))). SAM treatment in OTP is beneficial because of its local access for most severe cases since children reach early before developing complications as a result fatalities will be reduced._x000D_<b>CONCLUSIONS</b>: The recovery rate and medical transfer were lower than the sphere standard. Presence of cough, presence of diarrhea admission category, provision of amoxicillin, and immunization status were factors identified as significantly associated with treatment outcome of severe acute malnutrition. The impact on increasing the recovery rates of children treated using the OTP service indicates the potential benefits of increasing the capacity of such services across a target region on child mortality/recovery. Timely intervention is another benefit of a more local service like OTP. Building capacity of OTP service providers and regular monitoring of service provision based on the management protocol was recommended.",27599,high
15,0.775681880870598,"Review of massive transfusion protocols in the injured, bleeding patientCurrent Opinion in Critical Care","<b>PURPOSE OF REVIEW</b>: Massive haemorrhage is a significant cause of mortality and morbidity in a variety of clinical settings, although most research has been related to trauma patients. Military studies from recent conflicts found that higher ratios of plasma to red blood cells (RBCs) were associated with increased survival in injured soldiers, and subsequent trials in civilian populations showed similar decreased mortality. Over the last decade, massive transfusion protocols (MTPs) have become an important component in the treatment of the massively bleeding patient. This review is intended to summarize the more recent findings and trends in massive transfusion._x000D_<b>RECENT FINDINGS</b>: There have been several observational studies suggesting that higher ratios of plasma to RBC and platelets to RBC are associated with improved survival but there is a paucity of randomized studies relating to specific ratios, dosages, timing, and guidance. Other studies have developed and assessed scoring systems used to initiate MTPs and specific tests used to guide MTPs. Finally, the specific blood components and adjuncts that constitute a MTP are the subject of further ongoing research._x000D_<b>SUMMARY</b>: The absence of a universal definition of massive bleeding or massive transfusion, heterogeneity in patients suffering from massive bleeding, and the difficulty in predicting which patients will require a massive transfusion all contribute to the difficulty of studying massive transfusion. However, there is evidence that higher plasma : RBC ratios correlate with improved survival, and that adjuncts to transfusion play a key role. Furthermore, recent validations of massive haemorrhage scoring systems should allow more consistent and appropriate triggering of massive transfusions.",30126,high
16,0.7743838970898448,CongoBMC Pregnancy and Childbirth,"Background: Little research has been conducted on the impact of the coronavirus disease 2019 (COVID-19) pandemic on either birth outcomes or the ability of archival medical records to accurately capture these outcomes. Our study objective is thus to compare the prevalence of preterm birth, stillbirth, low birth weight (LBW), small for gestational age (SGA), congenital microcephaly, and neonatal bloodstream infection (NBSI) before and during the first wave of the COVID-19 pandemic in Kinshasa, Democratic Republic of Congo (DRC). Methods: We conducted a facility-based retrospective cohort study in which identified cases of birth outcomes were tabulated at initial screening and subcategorized according to level of diagnostic certainty using Global Alignment of Immunization Safety Assessment in pregnancy (GAIA) definitions. Documentation of any birth complications, delivery type, and maternal vaccination history were also evaluated. The prevalence of each birth outcome was compared in the pre-COVID-19 (i.e., July 2019 to February 2020) and intra-COVID-19 (i.e., March to August 2020) periods via two-sample z-test for equality of proportions. Results: In total, 14,300 birth records were abstracted. Adverse birth outcomes were identified among 22.0% and 14.3% of pregnancies in the pre-COVID-19 and intra-COVID-19 periods, respectively. For stillbirth, LBW, SGA, microcephaly, and NBSI, prevalence estimates were similar across study periods. However, the prevalence of preterm birth in the intra-COVID-19 period was significantly lower than that reported during the pre-COVID-19 period (8.6% vs. 11.5%, p < 0.0001). Furthermore, the level of diagnostic certainty declined slightly across all outcomes investigated from the pre-COVID-19 to the intra-COVID-19 period. Nonetheless, diagnostic certainty was especially low for certain outcomes (i.e., stillbirth and NBSI) regardless of period; still, other outcomes, such as preterm birth and LBW, had moderate to high levels of diagnostic certainty. Results were mostly consistent when the analysis was focused on the facilities designated for COVID-19 care. Conclusion: This study succeeded in providing prevalence estimates for key adverse birth outcomes using GAIA criteria during the COVID-19 pandemic in Kinshasa, DRC. Furthermore, our study adds crucial real-world data to the literature surrounding the impact of the COVID-19 pandemic on maternal and neonatal services and outcomes in Africa.",143304,high
17,0.7722118926865171,Mortality of Puerto Ricans in the USA post Hurricane Maria: an interrupted time series analysisBMJ Open,"<b>OBJECTIVES</b>: To determine death occurrences of Puerto Ricans on the mainland USA following the arrival of Hurricane Maria in Puerto Rico in September 2017._x000D_<b>DESIGN</b>: Cross-sectional study._x000D_<b>PARTICIPANTS</b>: Persons of Puerto Rican origin on the mainland USA._x000D_<b>EXPOSURES</b>: Hurricane Maria._x000D_<b>MAIN OUTCOME</b>: We use an interrupted time series design to analyse all-cause mortality of Puerto Ricans in the USA following the hurricane. Hispanic origin data from the National Vital Statistics System and from the Public Use Microdata Sample of the American Community Survey are used to estimate monthly origin-specific mortality rates for the period 2012-2018. We estimated log-linear regressions of monthly deaths of persons of Puerto Rican origin by age group, gender, and educational attainment._x000D_<b>RESULTS</b>: We found an increase in mortality for persons of Puerto Rican origin during the 6-month period following the hurricane (October 2017 through March 2018), suggesting that deaths among these persons were 3.7% (95% CI 0.025 to 0.049) higher than would have otherwise been expected. In absolute terms, we estimated 514 excess deaths (95% CI 346 to 681) of persons of Puerto Rican origin that occurred on the mainland USA, concentrated in those aged 65 years or older._x000D_<b>CONCLUSIONS</b>: Our findings suggest an undercounting of previous deaths as a result of the hurricane due to the systematic effects on the displaced and resident populations in the mainland USA. Displaced populations are frequently overlooked in disaster relief and subsequent research. Ignoring these populations provides an incomplete understanding of the damages and loss of life.",17447,high
18,0.7708858975701638,Navigating the COVID-19 outbreak in ZambiaJournal of Infection in Developing Countries,"COVID-19 is a global public health crisis wreaking havoc in nearly every corner of the globe and Zambia is not an exception. Amid an already existing disease burden of HIV/AIDS, malaria, malnutrition, and cholera, the resilience of the health care system is yet to be tested especially since it lacks about 40% of its estimated workforce. Meanwhile, the government has already established measures to contain the spread of COVID-19. This includes; reorientation and training for health workers, indefinite closure of all learning institutions, and banning non-essential traveling. With the COVID-19 vaccine roll-out on the ground, the milestones achieved thus far in fighting the pandemic are expected to intensify. Copyright © 2022 Mwansa et al.",79365,high
19,0.7639837151629078,"Predictors of prolonged hospitalization among children aged 2-59 months with severe community-acquired pneumonia in public hospitals of Benishangul-Gumuz Region, Ethiopia: a multicenter retrospective follow-up studyFrontiers in Pediatrics","<b>Background</b>: Pneumonia is a leading cause of morbidity and mortality among children aged under 5 years in Ethiopia. Prolonged hospitalization of severe community-acquired pneumonia is a significant problem in resource-limited countries. This study seeks to provide insights that can help improve the management and outcomes of severe community-acquired pneumonia, which is particularly important in the context of the Benishangul-Gumuz Region, Ethiopia, where access to quality healthcare services is limited, and childhood pneumonia is a significant health challenge._x000D_<b>Objective</b>: The aim of the study was to determine the predictors of prolonged hospitalization among children aged 2-59 months admitted with severe community-acquired pneumonia between 1 January 2016 and 30 December 2020 in the public hospitals in Benishangul-Gumuz Region, Ethiopia._x000D_<b>Method</b>: A retrospective follow-up study design was conducted among randomly selected samples of 526 children. Data were entered into EPI data version 4.6 and analyzed using STATA version 14.0. The Cox proportional hazard regression model was fitted to identify the independent predictors of prolonged hospitalization, and variables with a p-value <0.05 in the multivariable model were considered statistically significant._x000D_<b>Results</b>: The median hospital stay was 5 days (interquartile range 2-8 = 6). Approximately 149 (28.93%) children had prolonged hospitalization (>5 days) and the recovery rate from severe community-acquired pneumonia was 19.69 per 100 person-day observations. The significant predictors of prolonged hospitalization were as follows: having facility referral sources [0.79, 95% confidence interval (CI), 0.63-0.98]; a nutritional status of wasting (0.64, 95% CI, 0.44-0.94); anemia (0.65, 95% CI, 0.46-0.90); no identified hemoglobin level (0.53, 95% CI, 0.41-0.70); no identified blood film (0.65, 95% CI, 0.53-0.80); no chest x-ray investigation (0.81, 95% CI, 0.65-0.99); pulmonary effusion (0.31, 95% CI, 0.15-0.66); and late presenters to hospital (0.67, 95% CI, 0.53-0.84) at admission._x000D_<b>Conclusions</b>: The median length of stay in hospital was delayed compared to other studies. Wasting, late presenting to hospital, pulmonary effusion, anemia, absence of investigations of hemoglobin level, chest x-ray, and blood film at admission time were factors that significantly prolonged the hospitalization time. Hence, attention should be given to the prevention of malnutrition and anemia in children, increasing early health-seeking behavior in the community. Attention should be given to complications such as pleural effusion, and investigations, such as chest x-ray, hemoglobin levels, and blood films, should be performed when the child is admitted.",11329,high
20,0.7542996163413518,"What sounds like Aedes, acts like Aedes, but is not Aedes? Lessons from dengue virus control for the management of invasive AnophelesThe Lancet Global Health","Aedes mosquitoes are responsible for transmission of dengue, chikungunya, Zika, and yellow fever viruses. Aedes mosquitoes are the pathfinders of invasive urban-living mosquitoes, and have spread into 129 countries over the past five decades. In the past 10 years Anopheles stephensi has been identified within densely populated cities in Yemen and across the Horn of Africa and as far west as Nigeria. A stephensi's aggressive spread is closely linked to increases in population movement due to migration, conflict, and climate change; rapid unplanned urbanisation; and resulting poor water quality, sanitation, waste container removal, and hygiene systems. As a highly invasive vector that is adept at transmitting malarial pathogens (eg, Plasmodium vivax and Plasmodium falciparum), A stephensi's spread holds huge implications for increasing malaria morbidity and mortality. Both vectors (ie, Aedes species and A stephensi) thrive in the same urban environments, and urgent action is needed to seize the opportunity to integrate disease control resources and generate innovative vector-control tools for urban populations, to protect the many millions at risk.",16065,high
